country_name,country_code,year,SE.ADT.LITR.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS
India,IND,2015,66.48,106.95,72.99,22.29,14.39,3.86
India,IND,2016,67.98,106.82,73.43,23.31,13.94,4.29
India,IND,2017,68.39,107.09,74.39,24.15,14.61,4.275
India,IND,2018,69.49,105.93,74.3,25.27,14.23,4.26
India,IND,2019,70.16,105.81,75.71,25.53,15.31,4.61
India,IND,2020,71.63,106.07,76.92,26.79,14.71,3.81
India,IND,2021,71.62,106.22999999999999,76.53,25.59,14.38,5.61
India,IND,2022,71.25,106.39,77.44,27.12,14.77,3.8
Japan,JPN,2010,99.38,99.94,100.42,59.91,10.07,4.69
Japan,JPN,2011,99.02,100.46,100.42,60.5,10.07,3.77
Japan,JPN,2012,98.66,98.56,101.3,60.49333333333333,9.26,2.16
Japan,JPN,2013,99.015,99.89,101.15,60.486666666666665,8.27,3.48
Japan,JPN,2014,99.37,100.42,100.68,60.48,9.59,2.96
Japan,JPN,2015,98.99,100.95,101.09,60.45,10.32,3.86
Japan,JPN,2016,99.07,101.48,100.83,60.55,9.68,2.86
Japan,JPN,2017,99.77,99.64,101.14,61.56,8.16,3.26
Japan,JPN,2018,98.65,100.24,101.48,61.41,8.79,3.62
Japan,JPN,2019,99.33,100.58,102.04,60.93,9.85,3.83
Japan,JPN,2020,98.88,101.36,102.215,62.04,8.68,2.58
Japan,JPN,2021,98.87,99.64,102.39,61.83,9.129999999999999,3.09
Japan,JPN,2022,99.66,101.2,99.95,62.29,9.58,3.0
Nigeria,NGA,2010,60.06,84.68,43.23,9.43,7.66,1.58
Nigeria,NGA,2011,58.97,84.73,43.93,11.78,7.385,1.18
Nigeria,NGA,2012,60.79,85.52,44.57,10.7,7.11,1.13
Nigeria,NGA,2013,60.47,85.01,45.21,10.71,6.81,2.45
Nigeria,NGA,2014,60.06,86.04,44.76,10.28,7.01,1.35
Nigeria,NGA,2015,61.13,84.98,45.055,11.42,7.23,3.2
Nigeria,NGA,2016,61.68,86.82,45.35,10.85,6.03,0.93
Nigeria,NGA,2017,61.82,86.68,45.73,11.47,6.26,3.23
Nigeria,NGA,2018,60.86,86.75,45.56,13.14,7.53,2.37
Nigeria,NGA,2019,61.71,87.39,46.15,11.74,7.19,2.17
Nigeria,NGA,2020,62.35,88.0,46.19,12.69,7.155,1.97
Nigeria,NGA,2021,62.81,87.81,47.209999999999994,11.78,7.12,2.57
Nigeria,NGA,2022,63.57,86.3,48.23,12.38,7.33,2.57
Portugal,PRT,2010,94.27,104.69,109.67,61.33,10.54,5.96
Portugal,PRT,2011,93.88,104.69,109.55,63.15,9.75,4.7
Portugal,PRT,2012,94.9,103.86,110.02,62.76,9.76,4.43
Portugal,PRT,2013,93.65,103.37,109.79,63.06,10.36,4.95
Portugal,PRT,2014,94.77,105.58,110.82,62.83,11.58,5.07
Portugal,PRT,2015,94.86,104.09,108.31,61.82,10.44,5.71
Portugal,PRT,2016,94.59,104.07,110.53,62.29,9.72,4.04
Portugal,PRT,2017,94.32,104.06,110.61,62.99,10.49,5.99
Portugal,PRT,2018,94.05,104.2,108.6,62.07,10.5,4.99
Portugal,PRT,2019,95.45,104.0,109.61,63.33,9.06,4.83
Portugal,PRT,2020,94.89,103.76,109.58,62.86,10.67,4.49
Portugal,PRT,2021,94.79,103.78,108.94,62.88,10.58,4.12
Portugal,PRT,2022,95.83,104.1,109.29,63.63,11.16,5.61
South Africa,ZAF,2010,86.27,98.91,91.48,18.68,18.43,5.68
South Africa,ZAF,2011,86.81,98.22,92.18,18.68,17.99,5.63
South Africa,ZAF,2012,87.43,97.18,91.8,18.3,18.195,5.79
South Africa,ZAF,2013,87.08,97.59,92.61,19.39,18.4,4.56
South Africa,ZAF,2014,87.57,97.07,92.57,18.94,17.95,5.01
South Africa,ZAF,2015,88.6,96.67,92.61,18.67,18.36,6.72
South Africa,ZAF,2016,87.85,97.96,92.655,19.12,18.05,6.87
South Africa,ZAF,2017,88.9,98.45,92.7,20.48,19.66,5.71
South Africa,ZAF,2018,87.92,97.945,93.17500000000001,20.96,19.13,6.19
South Africa,ZAF,2019,89.12,97.44,93.65,20.61,18.55,6.01
South Africa,ZAF,2020,89.86,96.61,92.91,21.88,19.39,7.65
South Africa,ZAF,2021,87.72,96.61,93.71,20.85,18.5,6.45
South Africa,ZAF,2022,88.92,96.44,94.25,22.16,18.5,5.68
United States,USA,2010,99.11,100.9,97.3,87.07,13.58,5.06
United States,USA,2011,99.16,101.25,98.71,88.14,12.6,3.81
United States,USA,2012,99.47,102.15,98.49,87.56,12.84,4.87
United States,USA,2013,98.26,101.13,98.53,88.58,12.82,5.21
United States,USA,2014,98.21,101.19,97.53,87.85,12.2,5.89
United States,USA,2015,99.31,101.01,98.94,87.99,13.28,4.69
United States,USA,2016,99.18,99.91,97.28,88.13,13.28,4.51
United States,USA,2017,99.15,101.05,98.49,88.51,13.14,4.7
United States,USA,2018,99.21,101.12,99.47,89.29,13.02,5.55
United States,USA,2019,98.59,102.57,97.59,88.16,12.985,5.2
United States,USA,2020,99.14,100.98,97.86,89.14,12.95,4.68
United States,USA,2021,99.18,101.29,98.28,89.88,13.01,5.31
United States,USA,2022,98.57,101.1,97.94,88.24,12.76,5.06
